"Thank You!","Bedankt!"
"Your Order Has Been Processed","Uw bestelling is verwerkt"
"Order summary","Overzicht van bestelling"
"Save your information for next time!","Bewaar je gegevens voor de volgende keer!"
"Tweet Order","Tweet je bestelling"
"Share Order","Deel je bestelling"
"Your reward points","Je spaarpunten"
"pts","pts"
"Points","Punten"
"Your Rewards Balance","Balans van je beloning"
"Value","Waarde"
"Redeemed","Redeemed"
"Earned","Verdiend"
"Previous Total","Vorig totaal"
"Unexpected error. Please try again later.","Onverwachte fout. Probeer het later opnieuw."
"You cannot subscribe or register in ""Preview Mode""","U kunt niet abonneren of registreren in ""Preview-modus"""
"You cannot print order in ""Preview Mode""","Je kan de bestelling niet printen in "" Preview-modus"""
"Save your confirmation for the next time!","Bewaar je bevestiging voor de volgende keer!"
"You successfully registered","Je bent succesvol geregistreerd"
"Sign Up for Newsletter","Aanmelden voor nieuwsbrief"
"Your order # is: %1.","Je bestelnummer: %1."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Je ontvangt een order bevestiging email met een link om je bestelling te traceren zodra deze verzonden is."
